"","governance_level","municipality_name","state_name","state_short","region","division","reform_mechanism","reform_phase","reform_type","legislative_number_policy_name","time_status","time_R","year","primary_source","secondary_source","description","latitude","longitude","type_plex","type_adu","type_tod","type_other","phase_approved","phase_denied_rejected","phase_early_process","phase_late_process","phase_ongoing","mechanism_ordinance","mechanism_intensive_effort","mechanism_ballot","mechanism_plan_update","washington_binary"
"11","Municipality","Auburn","Maine","ME","Northeast","New England","Municipal Ordinance","Approved","ADU Reform","Ordinance No. 18-04052021","Adopted on 5/03/2021",2021-05-03,2021,"https://www.auburnmaine.gov/postings/blogs/detail/Auburn-Approves-Secondary-Dwelling-Units","https://library.municode.com/me/auburn/codes/code_of_ordinances?nodeId=PTIICOOR_CH60ZO_ARTIIGEPR_S60-34BUPELO","The City Council of Auburn Maine adopted an ADU ordinance which made three principal changes. The first is that it expanded permitted ADU types from merely internal or attached ADUs, to detached ADUs. The second is that it removed normal size limits and greatly increased the height limits for established ADUs, so that the accessory unit can ultimately be larger than the principal dwelling. The third is that it specified that these units can be built on both single-family zoned land and also land zoned for duplexes.",44.0978509,-70.2311655,0,1,0,0,1,0,0,0,0,1,0,0,0,0
"12","Municipality","Ann Arbor","Michigan","MI","Midwest","East North Central","Municipal Ordinance","Approved","ADU Reform","Amendments to the Accessory Dwelling Unit Requirement","Passed on 6/07/2021",2021-06-07,2021,"https://www.mlive.com/news/ann-arbor/2021/06/ann-arbor-opens-door-to-more-accessory-apartments-in-neighborhoods.html","https://www.a2gov.org/departments/planning/Documents/Planning/ADU%20Ordinance%20Amendments%20(1).pdf","The City Council of Ann Arbor passed an amendment of its zoning code, which reformed the city's ADU provisions. The ordinance made three central updates. The first is that it expanded the total eligible properties wherein one might construct or convert an ADU. The second is that is generally reduced restrictions in the application and approval process. The third is that it reduced the parking minimum, but still requires at least one off-street parking spot for an ADU if the lot isn't within a 1/4 mile of a bus stop.",42.2681569,-83.7312291,0,1,0,0,1,0,0,0,0,1,0,0,0,0
"13","Municipality","Ann Arbor","Michigan","MI","Midwest","East North Central","Intensive Zoning Code Effort","Approved","TOD Reform","Ordinance No. ORD-21-19","Approved on 7/06/2021",2021-07-06,2021,"https://www.michigandaily.com/news/some-ann-arbor-residents-share-concerns-about-tc1-rezoning-proposal-ahead-of-city-council-vote/","http://a2gov.legistar.com/LegislationDetail.aspx?ID=4966621&GUID=4E34C6AE-E4A5-4DC4-B460-124B943D8D79&Options=&Search=&FullText=1  media: https://www.mlive.com/news/ann-arbor/2021/07/ann-arbor-oks-high-density-zoning-for-transit-corridors-but-not-without-drama.html","The City of Ann Arbor approved a transit-oriented development (TOD ordinance). First, the ordinance created a new district, the Transit Corridor (TC1) district, in order to facilitate transit oriented development in the jurisdiction. This district is intended to create at least two-story housing close to transit, with the purposes of encouraging infill development, expanding multi-family housing variety and option, and generate walkable and mobile communities.",42.2681569,-83.7312291,0,0,1,0,1,0,0,0,0,0,1,0,0,0
"14","Municipality","Minneapolis","Minnesota","MN","Midwest","West North Central","Municipal Ordinance","Approved","Other Reform","Ordinance No. 2021-023","Approved on 5/17/2021",2021-05-17,2021,"https://www.startribune.com/minneapolis-city-council-unanimously-eliminates-parking-requirements/600057275/?refresh=true","https://library.municode.com/mn/minneapolis/ordinances/code_of_ordinances?nodeId=1086665","The City of Minneapolis approved an ordinance to remove parking minimums throughout the city. Removing parking minimums is seen by some as being conducive to creating cities that are less car dependent; it is also seen as a policy lever which reduces wasted space, as well as the costs associated with a development, which may have impacts on the total number of units built, and their associated rental costs.",44.9772995,-93.2654692,0,0,0,1,1,0,0,0,0,1,0,0,0,0
"15","Municipality","Albemarle","North Carolina","NC","South","South Atlantic","Municipal Ordinance","Approved","Other Reform","Ordinance No. 21-02","Adopted on 1/19/2021",2021-01-19,2021,"https://parkingreform.org/mandates-map/city_detail/Albemarle_NC.html","https://www.albemarlenc.gov/home/showpublisheddocument/4007/637511063460330000","The City Council of Albemarle adopted an ordinance that removed mandatory parking minimums from the zoning code. These changes to the parking standards run across nearly all commercial, industrial and residential uses, with a few exceptions. The city still requires 1-parking spot for ADU development.",35.3501426,-80.2000578,0,0,0,1,1,0,0,0,0,1,0,0,0,0
"16","Municipality","Charlotte","North Carolina","NC","South","South Atlantic","General Plan Update","Approved","ADU Reform, Plex Reform","Charlotte Future 2040 Comprehensive Plan","Adopted on 6/21/2021",2021-06-21,2021,"https://www.cltfuture2040plan.com/content/goal-2-neighborhood-diversity-and-inclusion","https://charlotte.axios.com/303716/a-reality-check-on-charlottes-single-family-zoning-changes/","The City of Charlotte has adopted their Charlotte Future 2040 Comprehensive Plan, which proposed changes to the city's zoning code. The general plan made two major proposals. The first is related to plex development, and proposed allowing duplex to fourplex development on all residential zoned districts across the city. A caveat is that fourplexes would only be permitted in dense areas, and under some affordability conditions. The second proposal was to make ADUs easier to construct around the city's residentially zoned districts.",35.2272086,-80.8430827,1,1,0,0,1,0,0,0,0,0,0,0,1,0
"17","Municipality","Gastonia","North Carolina","NC","South","South Atlantic","Municipal Ordinance","Approved","Other Reform","Ord. No. 21-737","Adopted on 5/18/2021",2021-05-18,2021,"https://parkingreform.org/mandates-map/city_detail/Gastonia_NC.html","https://library.municode.com/nc/gastonia/codes/unified_development_ordinance?nodeId=CH10OREPALO_S10.11USDEREVEBIPASTTA","The City Council of Gastonia adopted an ordinance that removed mandatory parking minimums from the zoning code, and replaced them instead with parking maximums. These changes to the parking standards in the zoning code run across all commercial, industrial and residential uses, with the exception of bicycle parking.",35.2622654,-81.1838186,0,0,0,1,1,0,0,0,0,1,0,0,0,0
"18","Municipality","Raleigh","North Carolina","NC","South","South Atlantic","Municipal Ordinance","Approved","Plex Reform","Ordinance No. TC-5-20","Adopted on 6/06/2021",2021-06-06,2021,"https://raleighnc.gov/planning/zoning-reform-creating-opportunities-more-housing-types","https://cityofraleigh0drupal.blob.core.usgovcloudapi.net/drupal-prod/COR22/TC-05-20-ORD.pdf","The City and County of Raleigh led a string of zoning reforms in recent years, which have targeted missing middle housing; this is one of those ordinances. This particular ordinance, which has been titled ""Missing Middle Housing,"" made duplexes, townhouses and small apartment buildings easier to construct across the city and county. This intention was principally carried out in the ordinance through the expansion of the possible zoning districts wherein building missing middle housing types are permitted.",35.7803977,-78.6390989,1,0,0,0,1,0,0,0,0,1,0,0,0,0
"19","Municipality","Ashland","Oregon","OR","West","Pacific","Municipal Ordinance","Approved","ADU Reform","Accessory Residential Unit Ordinance","Approved on 6/19/2021",2021-06-19,2021,"https://www.mailtribune.com/government-and-politics/2018/06/21/ashland-eases-rules-for-adding-dwelling-units/","https://www.ashland.or.us/SIB/files/2018-06-19_CC_PH_Presentation_FINAL.pdf","The Ashland City Council approved an ordinance that exempted ADUs from the planning application process, so long as they meet two conditions. The first condition is that a given ADU is within or attached to a single family primary dwelling unit. The second condition is that a given ADU is under 500sqft. In conclusion, this ordinance is not a more preferable unconditional ministerial process for ADU approval, but rather a simplification of the planning application process if a given ADU development satisfies certain conditions.",42.1972487,-122.7153995,0,1,0,0,1,0,0,0,0,1,0,0,0,0
"20","Municipality","Jackson","Tennessee","TN","South","East South Central","Municipal Ordinance","Approved","Other Reform","City Zoning Ordinance - Elimination minimum parking requirements","Adopted on 10/05/2021",2021-10-05,2021,"https://www.lincolninst.edu/publications/articles/2022-10-shifting-gears-eliminating-off-street-parking-requirements#:~:text=In%202021%2C%20cities%20from%20Minneapolis,requirements%20from%20their%20zoning%20codes.","https://www.jacksontn.gov/common/pages/DisplayFile.aspx?itemId=17993767","The City of Jackson adopted an ordinance that removed parking minimums from the zoning code. The jurisdiction joins a growing list of others who have removed parking minimums from a green-climate, walkability, and housing perspective.",35.6144446,-88.8177418,0,0,0,1,1,0,0,0,0,1,0,0,0,0
"21","Municipality","Alexandria","Virginia","VA","South","South Atlantic","Municipal Ordinance","Approved","ADU Reform","Ordinance No. 21-0620","Approved on 1/23/2021",2021-01-23,2021,"https://alextimes.com/2021/01/council-approves-accessory-dwelling-unit-policy/","https://legistar.granicus.com/alexandria/meetings/2021/1/2139_A_City_Council_Public_Hearing_21-01-23_Docket.pdf","The City Council of Alexandria approved an ADU reform which made three central changes. First, it permitted attached or detached ADUs city-wide in residentially zoned areas (single-family, two-family or townhouse districts). Second, it removed minimum parking requirements for ADU construction or conversion. And third, while requiring owner-occupancy of the principal dwelling, it legalized short-term renting of the ADU, so long as the owner resides in the principal dwelling. (The last sentence is not a statement of support for the latter end of the policy, but merely a description of the elements of the ordinance.)",38.8051095,-77.0470229,0,1,0,0,1,0,0,0,0,1,0,0,0,0
"22","Municipality","Charlottesville","Virginia","VA","South","South Atlantic","General Plan Update","Approved","Plex Reform, Other Reform","Comprehensive Plan","Adopted on 11/15/2021",2021-11-15,2021,"https://www.charlottesville.gov/270/Approved-Plans","https://www.brookings.edu/research/gentle-density-can-save-our-neighborhoods/","The City of Charlottesville updated their comprehensive plan, and set the outline for a few prospective changes in the city's zoning code. The three central proposed changes are as follows. First, the plan proposed the development of affordable, healthy and high-opportunity housing. Second, the plan proposed mixed-use and mixed-income development, with an eye towards permitting more diverse housing types by-right. Third, the plan proposed housing development which is geared towards walkability and public transit connection.",38.029306,-78.4766781,1,0,0,1,1,0,0,0,0,0,0,0,1,0
"23","Municipality","Madison","Wisconsin","WI","Midwest","East North Central","Municipal Ordinance","Approved","ADU Reform","Ordinance No. ORD-21-00087","Effective on 12/07/2021",2021-12-07,2021,"https://www.cityofmadison.com/development-services-center/1-2-family-residential/new-building-construction/new-detached-accessory-dwelling-unit#:~:text=Accessory%20dwelling%20units%20(ADUs)%20are,permit%20to%20build%20any%20ADU.","https://library.municode.com/wi/madison/ordinances/code_of_ordinances?nodeId=1127114","The City Council of Madison passed an ADU ordinance which significantly changed their prior precedent concerning this building type. There are three central changes made by this ordinance. First, it made ADUs a permitted use across all residential districts, instead of merely a ""conditional"" use. Second, it increased the maximum size of ADUs from 700sqft to 900sqft. Third, it redrafted the code language to make it more clear and specific.",43.074761,-89.3837613,0,1,0,0,1,0,0,0,0,1,0,0,0,0
